# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Standard Edition
# File: /home/pau/Documents/Classes/CHS_SID/DE1_SoC_Oscilloscope.csv
# Generated on: Thu Apr 16 19:39:30 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
ADC_CLK_A,Output,PIN_AA18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_CLK_B,Output,PIN_AE17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_CONVST,Output,PIN_AJ4,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[13],Input,PIN_AG21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[12],Input,PIN_AF21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[11],Input,PIN_AF19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[10],Input,PIN_AF20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[9],Input,PIN_AE19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[8],Input,PIN_AD20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[7],Input,PIN_AE18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[6],Input,PIN_AD19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[5],Input,PIN_AK21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[4],Input,PIN_AJ20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[3],Input,PIN_AH20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[2],Input,PIN_AH19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[1],Input,PIN_AC20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DA[0],Input,PIN_AA19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[13],Input,PIN_AG17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[12],Input,PIN_AE16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[11],Input,PIN_AF16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[10],Input,PIN_AG16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[9],Input,PIN_AH17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[8],Input,PIN_AJ16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[7],Input,PIN_AH18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[6],Input,PIN_AJ17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[5],Input,PIN_AJ19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[4],Input,PIN_AK18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[3],Input,PIN_AK19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[2],Input,PIN_AK16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[1],Input,PIN_Y18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DB[0],Input,PIN_Y17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DIN,Output,PIN_AK4,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_DOUT,Input,PIN_AK3,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_OEB_A,Output,PIN_AJ21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_OEB_B,Output,PIN_AG20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_OTR_A,Input,PIN_AC18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_OTR_B,Input,PIN_AD17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SCLK,Output,PIN_AK2,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUD_ADCDAT,Input,PIN_K7,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUD_ADCLRCK,Bidir,PIN_K8,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUD_BCLK,Bidir,PIN_H7,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUD_DACDAT,Output,PIN_J7,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUD_DACLRCK,Bidir,PIN_H8,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
AUD_XCK,Output,PIN_G7,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK2_50,Input,PIN_AA16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK3_50,Input,PIN_Y26,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK4_50,Input,PIN_K14,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK_50,Input,PIN_AF14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_CLK_A,Output,PIN_AK27,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_CLK_B,Output,PIN_AK26,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[13],Output,PIN_AA21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[12],Output,PIN_AC23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[11],Output,PIN_AD24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[10],Output,PIN_AE24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[9],Output,PIN_AE23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[8],Output,PIN_AF25,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[7],Output,PIN_AF26,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[6],Output,PIN_AG26,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[5],Output,PIN_AG25,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[4],Output,PIN_AH24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[3],Output,PIN_AH27,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[2],Output,PIN_AK29,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[1],Output,PIN_AJ27,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DA[0],Output,PIN_AK28,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[13],Output,PIN_AH25,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[12],Output,PIN_AJ24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[11],Output,PIN_AK24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[10],Output,PIN_AK23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[9],Output,PIN_AG23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[8],Output,PIN_AH23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[7],Output,PIN_AJ22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[6],Output,PIN_AG22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[5],Output,PIN_AK22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[4],Output,PIN_AH22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[3],Output,PIN_AF23,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[2],Output,PIN_AD21,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[1],Output,PIN_AF24,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_DB[0],Output,PIN_AE22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_MODE,Output,PIN_AC22,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_WRT_A,Output,PIN_AJ26,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DAC_WRT_B,Output,PIN_AA20,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[12],Output,PIN_AJ14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[11],Output,PIN_AH13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[10],Output,PIN_AG12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[9],Output,PIN_AG13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[8],Output,PIN_AH15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[7],Output,PIN_AF15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[6],Output,PIN_AD14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[5],Output,PIN_AC14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[4],Output,PIN_AB15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[3],Output,PIN_AE14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[2],Output,PIN_AG15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[1],Output,PIN_AH14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_ADDR[0],Output,PIN_AK14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[1],Output,PIN_AJ12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_BA[0],Output,PIN_AF13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CAS_N,Output,PIN_AF11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CKE,Output,PIN_AK13,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
DRAM_CLK,Output,PIN_AH12,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
